 ,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
0.0,-0.001377085300598076,0.001520664747732432,-0.00037377355552091485,0.010143070681187145,0.012397858551704726,0.01614395022282001,0.00036519674974878034,0.003929844989447415,0.006667171755436126,-0.01549295774647869,0.035425101214574733,-0.0005998800239953861,0.0013128660876588604,0.01203744984395895,0.014115606024761456,-0.0031267928858290973,0.005577244841048325,0.008639694929392969,0.014370114290137051,0.007971515119307103,0.029779944656739894,0.010883843122537085,0.008232962341820393,-0.033530571992110604,0.06561679790026229,-0.07498197548666198
0.0,0.008734655335221875,0.0010861891055233678,0.007568914499299115,-0.004057228272474845,-0.005283178360101526,-0.01505087025981661,0.0016433853738703195,0.006840841277927586,0.006136828547617074,0.01654929577464769,-0.033906882591093035,0.005098980203959386,0.00515047465158564,0.01515827017387425,-0.0018137370869805557,0.014716006884681597,0.0022308979364195746,-0.005064648751713269,-0.006191790717473852,-0.0018068767603764023,-0.016602977994465595,-0.008256708575717885,-0.008232962341820393,0.033530571992110604,-0.06561679790026229,0.07858687815428989
0.0,-0.0045247088448221754,0.00032585673165683214,-0.004080361314437014,0.006245996156309945,0.009087066779374526,0.01538720255612531,-0.0002738975623119194,-0.0008732988865441859,0.00030305326161082606,-0.01619718309859139,0.033906882591093035,-0.003899220155968986,-0.00237325792769154,-0.0017833259028087502,0.008989827300686055,-0.008548479632816998,-1.7477339020466331e-16,0.0058988261931718685,0.010551843347694852,0.005261199978742703,0.022093380770413194,0.010133233252017284,0.008232962341820393,-0.033530571992110604,0.06561679790026229,-0.07570295602018759
0.0,0.006610009442870575,0.0005974040080378678,0.005949229092041714,-0.004857997010463345,-0.005846717385179026,-0.01521903640797101,0.0012781886241214195,0.004439269339931786,0.002575952723691074,0.01619718309859139,-0.03365384615384614,0.004599080183963386,0.00383760856392664,0.00795066131668895,-0.005204636858291955,0.011818703384968397,0.0005577244841049748,-0.005362569266519969,-0.008591109620494853,-0.0041983312961685025,-0.019238371326920495,-0.009757928316757484,-0.008080500076231192,0.033530571992110604,-0.06561679790026229,0.0771449170872387
0.0,-0.0050361976707585755,-0.00016292836582856786,-0.005232829777293314,0.005338458253256345,0.007326007326007427,0.01521903640797101,-0.0008216926869353195,-0.002838221381267986,-0.0013637396772481739,-0.01619718309859139,0.033906882591093035,-0.0040991801639673866,-0.00297919612199574,-0.005201367216525551,0.006781799542622756,-0.009810671256454398,-0.0005577244841049748,0.005541321575403869,0.009339284332189553,0.0048891959398417026,0.020072912548864494,0.009945580784387384,0.008080500076231192,-0.033530571992110604,0.06561679790026229,-0.0771449170872387
0.0,0.005665722379603375,0.00038016618693316787,0.0058869334994549145,-0.004857997010463345,-0.006832910679064627,-0.01521903640797101,0.0010955902492469196,0.0038570700822358863,0.001894082885066874,0.01619718309859139,-0.033906882591093035,0.004199160167966586,0.00353463946677454,0.005721503938178051,-0.005993218200457355,0.010642570281124497,0.0005577244841049748,-0.005481737472442539,-0.008978096540336954,-0.004410905032683303,-0.019897219660034195,-0.009945580784387384,-0.008080500076231192,0.033530571992110604,-0.06561679790026229,0.0778658976207642
0.0,-0.005508341202392175,-0.0003258567316570043,-0.0056066033328142145,0.005285073670723845,0.007114680191603327,0.01521903640797101,-0.0010955902492469196,-0.003347645731751986,-0.001818319569664192,-0.01619718309859139,0.033906882591093035,-0.003999200159968187,-0.00333266006867324,-0.005349977708426251,0.0062297926031069555,-0.010269650028686197,-0.0005577244841049748,0.005481737472442539,0.009132891308273754,0.004623478769198103,0.019985066104449358,0.009945580784387384,0.008080500076231192,-0.033530571992110604,0.06561679790026229,-0.0771449170872387
0.0,0.005547686496694976,0.00038016618693316787,0.005637751129107626,-0.005071535340593645,-0.006903353057199327,-0.015134953333893822,0.0011868894366841513,0.0034204206389639794,0.001818319569664192,0.01619718309859139,-0.033906882591093035,0.003999200159968187,0.0034841446172492402,0.005349977708426251,-0.006072076334673955,0.010556511761330998,0.0005577244841049748,-0.005481737472442539,-0.009107092180284281,-0.004517191900940703,-0.019985066104449358,-0.009945580784387384,-0.008080500076231192,0.033530571992110604,-0.06561679790026229,0.0771449170872387
0.0,-0.005547686496694976,-0.00038016618693316787,-0.005637751129107626,0.005178304505658745,0.006973795435334012,0.01521903640797101,-0.0011868894366841513,-0.0034204206389639794,-0.001818319569664192,-0.01619718309859139,0.033906882591093035,-0.003999200159968187,-0.00338315491819864,-0.005349977708426251,0.006072076334673955,-0.010470453241537538,-0.0005577244841049748,0.005481737472442539,0.009132891308273754,0.004623478769198103,0.019985066104449358,0.009945580784387384,0.008080500076231192,-0.033530571992110604,0.06561679790026229,-0.0771449170872387
0.0,0.005587031790997778,0.00038016618693316787,0.005637751129107626,-0.00512491992312618,-0.006903353057199327,-0.01521903640797101,0.0011868894366841513,0.0034204206389639794,0.001894082885066874,0.01619718309859139,-0.033906882591093035,0.003999200159968187,0.0034336497677239885,0.005349977708426251,-0.006072076334673955,0.010499139414802024,0.0005577244841049748,-0.0054221533694812085,-0.009107092180284281,-0.004623478769198103,-0.019985066104449358,-0.009945580784387384,-0.008080500076231192,0.033530571992110604,-0.06561679790026229,0.0771449170872387
0.0,-0.005587031790997778,-0.00038016618693316787,-0.005637751129107626,0.00512491992312618,0.006903353057199327,0.01521903640797101,-0.0011868894366841513,-0.0034204206389639794,-0.001894082885066874,-0.01619718309859139,0.033906882591093035,-0.003999200159968187,-0.0034336497677239885,-0.005349977708426251,0.006072076334673955,-0.010499139414802024,-0.0005577244841049748,0.0054221533694812085,0.009107092180284281,0.004623478769198103,0.019985066104449358,0.009945580784387384,0.008080500076231192,-0.033530571992110604,0.06561679790026229,-0.0771449170872387
